Transaction_ID,Customer_Name,Email,Phone,Product,Category,Quantity,Unit_Price,Total_Amount,Purchase_Date,Payment_Method,Country,Return_Status,Return_Reason,Sales_Rep
TRANS_42,Jamie Best,larry53@gomez-robinson.com,8740343836,Smartwatch,Gadgets,2,1523.2,3046.4,2019-01-06 23:44:21.057403826,Cash,Canada,,Wrong Item,Carrie Tran
TRANS_43,David Evans,brandy89@hotmail.com,8071146501,Laptop,Electronics,6,1771.08,10626.48,2019-01-07 03:14:42.058803920,Cheque,Canada,Yes,,Daniel Delgado
TRANS_44,Dennis Hunter,zduran@yahoo.com,001-486-136-4818x264,,Gadgets,2,1842.3,3684.6,2019-01-07 06:45:03.060204013,Card,UK,,Defective,Sean Collins
TRANS_45,Gabriela Mclaughlin,jesse88@yahoo.com,+1-845-024-0351,Headphones,Accessories,9,1297.15,11674.35,2019-01-07 10:15:24.061604106,Online,Canada,Pending,Wrong Item,Megan Robinson
TRANS_46,Margaret Williams,yjames@hotmail.com,(937)916-7137,Laptop,Gadgets,4,829.2,3316.8,2019-01-07 13:45:45.063004200,Card,USA,,Wrong Item,Robert Curtis
TRANS_47,Bryan Davila,elliottjackson@hotmail.com,912-868-3057x42751,Laptop,Electronics,4,1602.08,6408.32,2019-01-07 17:16:06.064404293,,Canada,No,Wrong Item,Stephen Barnes
TRANS_48,William Perkins,summersjeffery@gonzales.biz,001-169-289-6649x875,,Gadgets,8,1673.72,13389.76,2019-01-07 20:46:27.065804387,,Canada,,Defective,Samantha Martin
TRANS_49,Katelyn Wilkinson,daniellecook@gmail.com,848-521-7914,Smartwatch,Electronics,7,1225.48,8578.36,2019-01-08 00:16:48.067204480,,,No,Unwanted,Angela Rodriguez
TRANS_50,Kathleen Green,carrie17@gmail.com,7136734616,Smartwatch,Accessories,8,937.28,7498.24,2019-01-08 03:47:09.068604573,Cheque,UK,Pending,Defective,Erik Johnson
TRANS_51,Aaron Johnson,stanleyphyllis@morrison.com,,Phone,,6,1607.51,9645.06,2019-01-08 07:17:30.070004667,Cheque,Germany,Pending,Unwanted,
TRANS_52,Amanda Hopkins,vstevenson@sheppard.biz,688.452.6498,Phone,Accessories,4,504.01,2016.04,2019-01-08 10:47:51.071404760,,Canada,,Unwanted,Katherine King
TRANS_53,Peter Evans,christy82@williams-douglas.org,905.837.5850x1790,Tablet,,6,704.1,4224.6,2019-01-08 14:18:12.072804853,Online,Germany,,Wrong Item,Patricia Sampson
TRANS_54,Jane Cain,ericbrooks@gmail.com,+1-603-486-0212x341,Tablet,Gadgets,5,1866.25,9331.25,2019-01-08 17:48:33.074204947,Card,Canada,Yes,,Susan Woodward
TRANS_55,Anthony Miller,johncox@clark.com,(035)316-5061x76152,Camera,Electronics,5,1302.62,6513.099999999999,2019-01-08 21:18:54.075605040,Cash,Germany,No,,Mark Malone
TRANS_56,David Weber,orozcoalex@morse-martinez.com,+1-332-168-2963x454,Tablet,Electronics,3,1178.14,3534.42,2019-01-09 00:49:15.077005133,Card,USA,Yes,Wrong Item,James Jones
TRANS_57,John Warren,xwalker@fuller-taylor.org,001-489-953-8493x018,Camera,Accessories,4,1663.76,6655.04,2019-01-09 04:19:36.078405227,,,,,Susan Clark
TRANS_58,Frederick Mercado,jaredboyd@yahoo.com,3027338872,Headphones,Electronics,5,973.77,4868.85,2019-01-09 07:49:57.079805320,Online,UK,Pending,Unwanted,Monique Acosta
TRANS_59,Jonathan Garcia,khanscott@bridges.com,+1-011-402-7298x656,Laptop,Home,5,1928.25,9641.25,2019-01-09 11:20:18.081205413,Cash,USA,No,Wrong Item,Emily Silva
TRANS_60,Sara Rivera,robertacosta@gmail.com,194.558.3186x2366,Tablet,Home,6,394.36,2366.16,2019-01-09 14:50:39.082605507,,Canada,,,Laura Schultz
TRANS_61,,,905-343-8495x86138,Camera,,2,525.39,1050.78,2019-01-09 18:21:00.084005600,Cheque,UK,,Unwanted,
TRANS_62,Kathryn Rodriguez,sophia60@ellis-frank.com,1409267365,Headphones,Electronics,5,1828.06,9140.3,2019-01-09 21:51:21.085405693,Cash,USA,Pending,Defective,Kathy Williams
TRANS_63,Charles Blevins,mcastillo@gmail.com,(145)473-9171,Phone,Electronics,1,724.1,724.1,2019-01-10 01:21:42.086805787,,Canada,,Defective,William Parks
TRANS_64,Tina Carlson,angelica44@gmail.com,001-875-796-2891x014,Smartwatch,Electronics,7,1596.32,11174.24,2019-01-10 04:52:03.088205880,Online,,Pending,,Katie Estrada
TRANS_65,Emily Molina,blackwelldenise@robinson-gibson.com,(547)368-8937x84611,Headphones,Accessories,6,983.6,5901.6,2019-01-10 08:22:24.089605973,Cheque,,Pending,Defective,John Murray
TRANS_66,Yesenia Jones,zcuevas@gmail.com,(388)825-2367,Tablet,Electronics,9,1741.9,15677.1,2019-01-10 11:52:45.091006067,Cheque,Canada,No,,Natalie Craig
TRANS_67,Patricia Preston,eric57@thomas.com,906-800-5413x33228,Phone,Accessories,2,319.68,639.36,2019-01-10 15:23:06.092406160,Online,UK,Pending,,William Obrien
TRANS_68,Aaron Delacruz,guerrajames@ray.com,163.902.2283x2421,Phone,Accessories,8,618.56,4948.48,2019-01-10 18:53:27.093806253,Cash,Germany,,Defective,Stephanie Bowen
TRANS_69,Jeffrey Johnson,flane@yahoo.com,204.987.6552,Tablet,Accessories,2,1215.54,2431.08,2019-01-10 22:23:48.095206347,Card,Canada,Pending,Defective,Michael Lee
TRANS_70,Yesenia Walker,millerrichard@briggs-parker.com,001-742-115-1375x7023,Camera,Accessories,7,632.55,4427.849999999999,2019-01-11 01:54:09.096606440,Card,Canada,Pending,,Wayne Hamilton
TRANS_71,Brittany Foley,ovelasquez@yahoo.com,282-020-4441,Phone,Accessories,0,1402.41,0.0,2019-01-11 05:24:30.098006533,,USA,Pending,Wrong Item,
TRANS_72,Heather Nielsen,wilsonerik@parker.org,001-358-960-4895x9001,Phone,Accessories,7,1766.16,12363.12,2019-01-11 08:54:51.099406627,Online,Germany,No,Unwanted,Laura Mason
TRANS_73,Olivia Edwards,ojohnson@yahoo.com,+1-176-784-2149x895,Laptop,Gadgets,6,1886.52,11319.119999999999,2019-01-11 12:25:12.100806720,Cheque,Germany,Yes,Defective,Sheila Meyer
TRANS_74,Jennifer Lee MD,asmith@wilson.org,+1-969-071-0670x49518,Smartwatch,Electronics,7,878.28,6147.96,2019-01-11 15:55:33.102206813,Cash,UK,,Defective,James Yang
TRANS_75,Christopher Sanders MD,robinsonthomas@crane.net,6865473693,Headphones,Accessories,4,1812.78,7251.12,2019-01-11 19:25:54.103606907,Online,USA,Pending,,Rebecca Carey
TRANS_76,Michael Thompson,tuckerkylie@hotmail.com,,Camera,Electronics,4,248.03,992.12,2019-01-11 22:56:15.105007000,Online,Canada,Yes,Wrong Item,Jennifer Banks
TRANS_77,Jennifer Perez,shane17@fuller.net,413.011.5060x53385,Smartwatch,Gadgets,9,1793.95,16145.550000000001,2019-01-12 02:26:36.106407093,Online,,Yes,Defective,Dale Larson
TRANS_78,Matthew Johnson,paulcox@collins.info,(068)912-7050x384,Laptop,Home,7,366.86,2568.02,2019-01-12 05:56:57.107807187,Cheque,UK,No,Defective,Billy Williamson DDS
TRANS_79,Charlene Miller,jacquelinerogers@gmail.com,(087)462-8236x51538,Camera,Electronics,6,454.86,2729.16,2019-01-12 09:27:18.109207280,Cheque,,No,,Kimberly Moore
TRANS_80,Ashley Turner,joseph67@gmail.com,876.759.2202,Camera,Accessories,3,720.49,2161.4700000000003,2019-01-12 12:57:39.110607373,Online,,No,Wrong Item,Micheal Williams
TRANS_81,,slee@white.net,395-980-2280x8968,Headphones,Home,9,615.98,5543.82,2019-01-12 16:28:00.112007467,Card,UK,Pending,,
TRANS_82,Eduardo Marshall MD,xperry@yahoo.com,227.460.9840,Laptop,,9,1257.73,11319.57,2019-01-12 19:58:21.113407560,,USA,Pending,Wrong Item,Carla Dawson
TRANS_83,Jennifer Holmes,stephaniejackson@anderson-nichols.biz,(325)571-7816x0459,Camera,Electronics,5,463.89,2319.45,2019-01-12 23:28:42.114807653,Cash,Canada,Pending,,Joel Reynolds
TRANS_84,Michael Kerr,reginaldyates@gmail.com,119-669-2092x72492,Phone,,3,1990.34,5971.0199999999995,2019-01-13 02:59:03.116207747,Cheque,Germany,Yes,Unwanted,Crystal Herrera
TRANS_85,Christina Hebert,kelseylee@benjamin.org,7615570738,Headphones,Electronics,4,80.51,322.04,2019-01-13 06:29:24.117607840,Cheque,USA,,,Adam Elliott
TRANS_86,Kevin Dunn,perezana@lopez.com,106-624-9347x13476,Phone,Home,2,1844.37,3688.74,2019-01-13 09:59:45.119007933,,USA,Yes,,Jason Weber
TRANS_87,Lisa Melendez,smithpatrick@gmail.com,(300)942-8782x06368,Laptop,,2,993.59,1987.18,2019-01-13 13:30:06.120408027,Card,Canada,,Wrong Item,Melissa Wright
TRANS_88,Maurice Wagner,lisa56@hotmail.com,751.537.1534,Camera,Electronics,5,1604.46,8022.3,2019-01-13 17:00:27.121808120,Card,Germany,No,Wrong Item,Brittany Smith
TRANS_89,Matthew Odonnell,william62@hotmail.com,(261)628-9370x08892,Tablet,Accessories,1,1578.5,1578.5,2019-01-13 20:30:48.123208213,Cheque,Canada,,Wrong Item,Mr. Shawn Bell
TRANS_90,Peter Mitchell,kristinliu@hotmail.com,5631927690,,Gadgets,7,1980.84,13865.88,2019-01-14 00:01:09.124608307,Cash,Canada,Yes,Unwanted,Sharon Perez
TRANS_91,Katherine Lewis,,708-657-2356,Laptop,Electronics,2,711.78,1423.56,2019-01-14 03:31:30.126008400,Card,,Yes,Wrong Item,
TRANS_92,Antonio Williams,jeffrey88@hotmail.com,001-912-641-7174x082,Phone,,3,1752.14,5256.42,2019-01-14 07:01:51.127408494,Cash,UK,No,Defective,Mrs. Gabriella Matthews
TRANS_93,Samuel Allison DVM,raymond71@gmail.com,001-465-174-6033x3943,Tablet,Home,9,424.17,3817.53,2019-01-14 10:32:12.128808587,Cheque,USA,,Defective,Stephen Rubio
TRANS_94,Steven Melton,clarktiffany@taylor.com,378-762-0927,Tablet,Accessories,2,1300.73,2601.46,2019-01-14 14:02:33.130208680,Cash,Canada,Yes,Unwanted,Jessica Goodwin
TRANS_95,Kayla Velasquez,gregorytucker@yahoo.com,054.980.8269x4818,Tablet,Accessories,9,1057.38,9516.420000000002,2019-01-14 17:32:54.131608774,Card,,No,,Daniel Velazquez
TRANS_96,Alice Allen,arroyoloretta@yahoo.com,(572)800-3884x76807,Phone,Home,1,1967.32,1967.32,2019-01-14 21:03:15.133008867,,UK,,,Patricia Mccormick
TRANS_97,Isabella Gallegos,michael75@gomez-adkins.biz,353.047.6367x515,Tablet,Gadgets,9,1679.51,15115.59,2019-01-15 00:33:36.134408960,Cheque,UK,,,Richard Scott
TRANS_98,Jonathan Rose,ericrodriguez@hotmail.com,744.424.8805x8134,Headphones,Accessories,2,837.85,1675.7,2019-01-15 04:03:57.135809054,,USA,No,,Alexander Evans
TRANS_99,Ryan Jones,michaeljohnson@rodriguez.info,(475)732-6961,Headphones,Electronics,4,1552.72,6210.88,2019-01-15 07:34:18.137209147,Online,,No,Wrong Item,David Ramirez
TRANS_100,Jessica Wallace MD,angelasloan@nicholson-hunt.com,281-092-3324x6379,Phone,Home,3,748.65,2245.95,2019-01-15 11:04:39.138609240,,Canada,Yes,Unwanted,Paul Crane
TRANS_101,,christophercruz@gmail.com,,Laptop,Electronics,1,1461.56,1461.56,2019-01-15 14:35:00.140009334,,UK,,Wrong Item,
TRANS_102,Trevor Cunningham,noliver@allen.com,139.698.4487x9997,Laptop,Accessories,1,88.14,88.14,2019-01-15 18:05:21.141409427,Cheque,Canada,Yes,Wrong Item,Renee White
TRANS_103,Dr. Devin Hines,daniellehenry@anderson.net,5480765822,Tablet,Accessories,6,1659.01,9954.06,2019-01-15 21:35:42.142809520,Cash,,Yes,,Patricia Hill
TRANS_104,Gina Martin,ralphgarcia@howard-rivera.com,001-714-575-7917x56743,Tablet,Electronics,8,878.02,7024.16,2019-01-16 01:06:03.144209614,Cheque,,Pending,,James Woods
TRANS_105,James Pham,brownandrew@gmail.com,(223)015-1783x88518,Tablet,Accessories,4,768.71,3074.84,2019-01-16 04:36:24.145609707,Card,,Pending,Wrong Item,Mark Phelps
TRANS_106,David Wright,crosbyjessica@yahoo.com,002.925.1579,Phone,Home,6,374.65,2247.8999999999996,2019-01-16 08:06:45.147009800,,,,,Jessica Harris
TRANS_107,Ashley Martin,paulstevenson@martin-pitts.com,383-161-9472x481,Headphones,Accessories,3,278.01,834.03,2019-01-16 11:37:06.148409894,Card,Germany,Pending,,Chelsea Short
TRANS_108,Jennifer Wood,jodi75@gmail.com,(195)706-8216,Smartwatch,Home,7,50.24,351.68,2019-01-16 15:07:27.149809987,Online,,Yes,Unwanted,John Ramirez
TRANS_109,Andrea Martin,matthew27@gmail.com,3606600345,Smartwatch,,8,396.07,3168.56,2019-01-16 18:37:48.151210080,Cash,,Pending,Unwanted,Jamie Schaefer
TRANS_110,Melissa Best,karenmiller@yahoo.com,(792)078-0693,,Gadgets,6,487.5,2925.0,2019-01-16 22:08:09.152610174,,,,Unwanted,Vanessa Lewis
TRANS_111,Richard Tyler,mellison@foley.com,481.315.0633x508,Camera,Home,6,517.31,3103.8599999999997,2019-01-17 01:38:30.154010267,Online,Germany,,,
TRANS_112,Michael Wood,kellywilson@willis.net,474.798.1084x258,Phone,Home,2,1937.86,3875.72,2019-01-17 05:08:51.155410360,,USA,,Wrong Item,Megan Bond
TRANS_113,Tanya Francis,garyferguson@gmail.com,7997073864,Tablet,Gadgets,6,1647.85,9887.099999999999,2019-01-17 08:39:12.156810454,,Germany,Yes,Defective,Margaret Torres
TRANS_114,Justin Johnson,alyssa12@gmail.com,+1-780-900-6351x3625,Headphones,,5,1768.67,8843.35,2019-01-17 12:09:33.158210547,Card,,,,Eric Robles
TRANS_115,Michelle Brown,haleyolsen@yahoo.com,(229)715-4246,Tablet,Home,8,1569.1,12552.8,2019-01-17 15:39:54.159610640,Cheque,,No,Unwanted,Anthony Cortez
TRANS_116,Timothy Brown,matthewcarr@hotmail.com,+1-179-706-2815x5829,Laptop,,7,844.01,5908.07,2019-01-17 19:10:15.161010734,,Canada,,,Aaron Sanchez
TRANS_117,Jason Roth,aaroncruz@hotmail.com,(366)257-0376x80147,Tablet,,5,1391.43,6957.150000000001,2019-01-17 22:40:36.162410827,Online,Canada,Yes,Unwanted,Debra Rodriguez
TRANS_118,Angela Griffith,qbauer@long-hernandez.com,+1-494-031-8101x7142,,Electronics,3,734.02,2202.06,2019-01-18 02:10:57.163810920,,Germany,Yes,Wrong Item,Hannah Russell
TRANS_119,Brian Hall,youngtoni@tran.com,001-384-498-1209x81794,Camera,Accessories,7,821.22,5748.54,2019-01-18 05:41:18.165211014,Online,Germany,Yes,,Katherine Santiago
TRANS_120,Jody Vasquez,parkandrew@estrada-green.com,163-813-9232x969,Headphones,Home,3,363.98,1091.94,2019-01-18 09:11:39.166611107,Online,,No,Unwanted,Sarah Everett
TRANS_121,,,(999)369-2163,Camera,Gadgets,4,1753.66,7014.64,2019-01-18 12:42:00.168011200,Card,Canada,,,
TRANS_122,Wendy Smith,christiedavis@hotmail.com,526.293.1763,Camera,,2,1442.46,2884.92,2019-01-18 16:12:21.169411294,Cash,,Pending,,Shelia Price
TRANS_123,John Garcia,khuynh@hotmail.com,182-461-4425x62737,Camera,Home,2,279.03,558.06,2019-01-18 19:42:42.170811387,Cheque,Canada,Pending,Defective,Joseph Bailey
TRANS_124,Tyler Logan,reedpatrick@yahoo.com,0244990319,Tablet,,3,1763.77,5291.3099999999995,2019-01-18 23:13:03.172211480,,USA,,Wrong Item,Hannah Greer
TRANS_125,Emily Sosa,patriciawatson@gmail.com,940-980-2205x58734,Headphones,Home,5,969.92,4849.599999999999,2019-01-19 02:43:24.173611574,Online,Germany,No,,Craig Gray
TRANS_126,Joseph Wells,zwilson@hotmail.com,,Phone,Gadgets,6,1892.72,11356.32,2019-01-19 06:13:45.175011667,,USA,,,Mary Francis
TRANS_127,Mrs. Sheryl Wyatt,graycandace@williams-taylor.com,001-913-610-5771x617,Smartwatch,Home,0,1466.56,0.0,2019-01-19 09:44:06.176411760,,Germany,Pending,Defective,Katherine Marshall
TRANS_128,Nicholas Gilbert,silvamary@christensen.com,(671)889-2835x531,,Electronics,9,434.78,3913.0199999999995,2019-01-19 13:14:27.177811854,,Germany,No,Unwanted,Sabrina Sullivan
TRANS_129,Katherine Flores,michaeljohnson@hotmail.com,874.281.2761x5235,Laptop,,5,1655.08,8275.4,2019-01-19 16:44:48.179211947,,,Pending,Wrong Item,Dominique Hill
TRANS_130,Jennifer Castillo,wilsonmark@yahoo.com,(002)642-3346,Laptop,Accessories,7,1434.45,10041.15,2019-01-19 20:15:09.180612040,Cheque,USA,Pending,,Joseph Clark
TRANS_131,David Hoffman,iandrews@oconnell-gordon.net,6385958760,,Home,6,672.51,4035.06,2019-01-19 23:45:30.182012134,Cheque,UK,No,Defective,
TRANS_132,Elizabeth Harris,milesdaniel@pace.org,(283)062-7324,Camera,Gadgets,3,1785.5,5356.5,2019-01-20 03:15:51.183412227,Online,Germany,No,,Jessica Gates
TRANS_133,David Burke,josephsanford@yahoo.com,001-045-350-5146x680,Camera,Gadgets,4,655.4,2621.6,2019-01-20 06:46:12.184812320,Cheque,Canada,No,Wrong Item,Christina Ray
TRANS_134,Kimberly Johnson,pattersonjamie@salazar.com,774.677.5634,Headphones,Electronics,3,1736.53,5209.59,2019-01-20 10:16:33.186212414,Cash,Germany,No,,Carlos Mckinney
TRANS_135,Andrew Turner,jonathan20@ibarra-stewart.com,133-521-5722,Smartwatch,,1,1514.63,1514.63,2019-01-20 13:46:54.187612507,,,,,Keith Jackson
TRANS_136,Rebecca Moses,regina71@hotmail.com,1817426424,Camera,Home,2,1743.41,3486.82,2019-01-20 17:17:15.189012601,Cash,USA,No,Unwanted,Michael Waters
TRANS_137,Sarah Adams,andrewgraves@delgado-lang.com,4220313783,,Home,2,828.97,1657.94,2019-01-20 20:47:36.190412694,,UK,No,,Bryce Miller
TRANS_138,Charles Keller,wilsonkathryn@carlson.info,549.163.9567x59989,Phone,Gadgets,5,1647.35,8236.75,2019-01-21 00:17:57.191812787,Cheque,Canada,Pending,Wrong Item,Timothy Nelson
TRANS_139,Teresa Gibbs,robert61@yahoo.com,(788)290-6176x61722,,,6,971.27,5827.62,2019-01-21 03:48:18.193212881,Online,USA,,Wrong Item,Joshua Phillips
TRANS_140,Christine Houston,calebfuller@campbell.info,001-724-054-0087x33823,Smartwatch,Electronics,9,1948.27,17534.43,2019-01-21 07:18:39.194612974,Cheque,USA,,,Adam Moore
TRANS_141,,kgarcia@burgess.biz,001-779-129-6080x06748,Smartwatch,Gadgets,4,155.81,623.24,2019-01-21 10:49:00.196013067,Card,,Yes,Wrong Item,
TRANS_142,Carolyn Rodriguez,gordonalan@hotmail.com,929.538.8156,Phone,Accessories,7,570.24,3991.6800000000003,2019-01-21 14:19:21.197413161,,,,Wrong Item,Paul Johnson
TRANS_143,Elizabeth Garcia MD,taylorjonathan@gmail.com,001-809-367-1588x4167,Camera,Home,1,1199.92,1199.92,2019-01-21 17:49:42.198813254,Cheque,,Yes,Unwanted,Christopher Taylor
TRANS_144,Peter Gillespie,patricksmith@hotmail.com,025.237.2946x0054,Headphones,,7,904.17,6329.19,2019-01-21 21:20:03.200213347,Online,UK,No,,Eric Jackson
TRANS_145,Steven Taylor,schroederjohn@lucas-henderson.org,424-155-0554,,Electronics,5,1450.64,7253.200000000001,2019-01-22 00:50:24.201613441,Card,Germany,,,Mary Hamilton
TRANS_146,Mary Gray,john30@gmail.com,5669403681,Camera,,6,1490.97,8945.82,2019-01-22 04:20:45.203013534,Cheque,Germany,No,,John Williams
TRANS_147,Jacob Brown,ldawson@howard.com,001-184-686-2049x445,,Gadgets,5,1540.25,7701.25,2019-01-22 07:51:06.204413627,,UK,,Defective,Jason Brown
